codice;nome;cognome
001;nomeutente1;cognomeutente1
002;nomeutente2;cognomeutente2
003;nomeutente3;cognomeutente3
004;nomeutente4;cognomeutente4
005;nomeutente5;cognomeutente5
006;nomeutente6;cognomeutente6
007;nomeutente7;cognomeutente7
008;nomeutente8;cognomeutente8
009;nomeutente9;cognomeutente9
010;nomeutente10;cognomeutente10
011;nomeutente11;cognomeutente11
012;nomeutente12;cognomeutente12
013;nomeutente13;cognomeutente13
014;nomeutente14;cognomeutente14
015;nomeutente15;cognomeutente15
016;nomeutente16;cognomeutente16
