
codice;nome;cognome
014;marco;rossi
042;carlo;bianchi
034;sarah;connor
044;alessandro;masini
054;tony;chan
044;bill;clinton
031;marco;rossi
032;carlo;bianchi
033;sarah;connor
154;alessandro;masini
225;tony;chan
015;Alessandro;F
025;Alessandro;Masini
035;Bernard;Fanken
045;Enrico;Terzolo
055;Federica;Puddinu
065;Francesca;Caricchia
075;Gabriele;Prato
085;Guido;L
095;Lahcen;Ouhas
106;Manlio;LaValle
116;Margherita;Gillone
126;Massimo;Russo
136;Massimo;Taronna
146;Michele;Giardino
156;Nicholas;Lorenzini
166;Paola;Lucci
176;Piero;Bianco
186;Silvia;Unknown
100;Lahcen;ouhas
200;Marco;richichi
300;giorgio;lapiccirella
400;Ayoub;bouras
500;mourad;boumhdi
001; Paola; Lucci
002; Vincenzo; Martino
003; Francesco; Tocci
004; Federica; Venanz
005; Giulia; Liberati
006; Federica; Amici
007; Sergio; Vallino
008; Roberto; Vincenti
009; Matteo; Secchi
010; Franco; Morena
011; Sandra; Mantelli
082; Giorgio; Donati
001;marco;rossi
002;carlo;bianchi
003;sarah;connor
004;alessandro;masini
005;tony;chan
001; Grazia; Deledda
002; Luigi; Pirandello
003; Elsa; Morante
004; Alessandro; Manzoni
005; Maria; Bellonci
006; Italo; Calvino
007; Sibilla; Aleramo
008; Primo; Levi
009; Anna Maria; Ortese
010; Andrea; Camilleri
011; Laura; Mancinelli
012; Alberto; Moravia
